==== START logs for container kube-vip of pod kube-system/kube-vip-rv7cx ====
time="2021-12-11T06:21:33Z" level=info msg="server started"
time="2021-12-11T06:21:33Z" level=info msg="Starting Kube-vip Manager with the ARP engine"
time="2021-12-11T06:21:33Z" level=info msg="Namespace [kube-system], Hybrid mode [false]"
time="2021-12-11T06:21:33Z" level=info msg="Beginning cluster membership, namespace [kube-system], lock name [plndr-cp-lock], id [k8s-0]"
I1211 06:21:33.896593       1 leaderelection.go:248] attempting to acquire leader lease kube-system/plndr-cp-lock...
I1211 06:21:33.941452       1 leaderelection.go:258] successfully acquired lease kube-system/plndr-cp-lock
time="2021-12-11T06:21:33Z" level=info msg="Node [k8s-0] is assuming leadership of the cluster"
time="2021-12-11T06:21:33Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:21:37Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:21:40Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:21:43Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:21:46Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:21:49Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:21:52Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:21:55Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:21:58Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:01Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:04Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:07Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:10Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:13Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:16Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:19Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:22Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:25Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:22:28Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
